代码,简称,公告标题,公告时间,公告链接
601607,上海医药,上海医药集团股份有限公司2025年半<em>年度报告</em>,2025-08-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1224602619&orgId=gssh0600849&announcementTime=2025-08-29
601607,上海医药,上海医药集团股份有限公司2025年半<em>年度报告</em>摘要,2025-08-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1224602618&orgId=gssh0600849&announcementTime=2025-08-29
601607,上海医药,上海医药集团股份有限公司2024 年<em>年度报告</em>,2025-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1222927545&orgId=gssh0600849&announcementTime=2025-03-28
601607,上海医药,上海医药集团股份有限公司2024年<em>年度报告</em>摘要,2025-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1222927538&orgId=gssh0600849&announcementTime=2025-03-28
601607,上海医药,上海医药集团股份有限公司2024年半<em>年度报告</em>摘要,2024-08-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1220980858&orgId=gssh0600849&announcementTime=2024-08-27
601607,上海医药,上海医药集团股份有限公司2024年半<em>年度报告</em>全文,2024-08-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1220980856&orgId=gssh0600849&announcementTime=2024-08-27
601607,上海医药,上海医药集团股份有限公司2023年<em>年度报告</em>,2024-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1219448801&orgId=gssh0600849&announcementTime=2024-03-29
601607,上海医药,上海医药集团股份有限公司2023年<em>年度报告</em>摘要,2024-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1219448795&orgId=gssh0600849&announcementTime=2024-03-29
601607,上海医药,上海医药集团股份有限公司2023年半<em>年度报告</em>全文,2023-08-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1217694603&orgId=gssh0600849&announcementTime=2023-08-30
601607,上海医药,上海医药集团股份有限公司2023年半<em>年度报告</em>摘要,2023-08-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1217694594&orgId=gssh0600849&announcementTime=2023-08-30
601607,上海医药,上海医药集团股份有限公司2022 年<em>年度报告</em>,2023-03-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1216282324&orgId=gssh0600849&announcementTime=2023-03-31
601607,上海医药,上海医药集团股份有限公司2022年<em>年度报告</em>摘要,2023-03-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1216282304&orgId=gssh0600849&announcementTime=2023-03-31
601607,上海医药,上海医药集团股份有限公司2022年半<em>年度报告</em>,2022-08-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1214448192&orgId=gssh0600849&announcementTime=2022-08-30
601607,上海医药,上海医药集团股份有限公司2022年半<em>年度报告</em>摘要,2022-08-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1214448189&orgId=gssh0600849&announcementTime=2022-08-30
601607,上海医药,上海医药集团股份有限公司2021年<em>年度报告</em>（更正版）,2022-06-14,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1213688138&orgId=gssh0600849&announcementTime=2022-06-14
601607,上海医药,上海医药集团股份有限公司2021年<em>年度报告</em>摘要（更正版）,2022-06-14,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1213688137&orgId=gssh0600849&announcementTime=2022-06-14
601607,上海医药,上海医药集团股份有限公司2021年<em>年度报告</em>更正公告,2022-06-14,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1213688136&orgId=gssh0600849&announcementTime=2022-06-14
601607,上海医药,上海医药集团股份有限公司2021 年<em>年度报告</em>,2022-03-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1212731673&orgId=gssh0600849&announcementTime=2022-03-30
601607,上海医药,上海医药集团股份有限公司2021年<em>年度报告</em>摘要,2022-03-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1212731672&orgId=gssh0600849&announcementTime=2022-03-30
601607,上海医药,上海医药集团股份有限公司监事会关于公司2021年<em>年度报告</em>的审核意见,2022-03-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1212731662&orgId=gssh0600849&announcementTime=2022-03-30
601607,上海医药, 上海医药集团股份有限公司董事、监事、高级管理人员关于公司2021年<em>年度报告</em>的确认意见,2022-03-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1212731644&orgId=gssh0600849&announcementTime=2022-03-30
601607,上海医药,上海医药集团股份有限公司2021年半<em>年度报告</em>全文,2021-08-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1210927253&orgId=gssh0600849&announcementTime=2021-08-31
601607,上海医药,上海医药集团股份有限公司2021年半<em>年度报告</em>摘要,2021-08-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1210927252&orgId=gssh0600849&announcementTime=2021-08-31
601607,上海医药,2020年<em>年报</em>全文,2021-03-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1209464252&orgId=gssh0600849&announcementTime=2021-03-27
601607,上海医药,上海医药集团股份有限公司2020年<em>年度报告</em>摘要,2021-03-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1209464242&orgId=gssh0600849&announcementTime=2021-03-27
601607,上海医药,2020年半<em>年度报告</em>,2020-08-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1208274613&orgId=gssh0600849&announcementTime=2020-08-28
601607,上海医药,2020年半<em>年度报告</em>摘要,2020-08-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1208274612&orgId=gssh0600849&announcementTime=2020-08-28
601607,上海医药,2019年<em>年度报告</em>摘要,2020-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1207419363&orgId=gssh0600849&announcementTime=2020-03-28
601607,上海医药,2019年<em>年度报告</em>,2020-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601607&announcementId=1207419352&orgId=gssh0600849&announcementTime=2020-03-28
