股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
601607,2025-06-30,按行业分类,分销,129563548476.2,0.915043,122057100240.39,0.963659,7506448235.81,0.502685,0.057936
601607,2025-06-30,按行业分类,工业,12160381107.04,0.085883,5376310988.39,0.042447,6784070118.65,0.454309,0.557883
601607,2025-06-30,按行业分类,零售,4208274231.11,0.029721,3729819143.07,0.029447,478455088.04,0.032041,0.113694
601607,2025-06-30,按行业分类,其他(补充),481151636.87,0.003398,258518228.78,0.002041,222633408.09,0.014909,0.462709
601607,2025-06-30,按行业分类,其他,114419578.44,0.000808,87227132.87,0.000689,27192445.57,0.001821,0.237656
601607,2025-06-30,按行业分类,抵销,-4934992526.87,-0.034853,-4848915134.81,-0.038283,-86077392.06,-0.005764,
601607,2025-06-30,按产品分类,分销,129563548476.2,0.915043,122057100240.39,0.963659,7506448235.81,0.502685,0.057936
601607,2025-06-30,按产品分类,工业,12160381107.04,0.085883,5376310988.39,0.042447,6784070118.65,0.454309,0.557883
601607,2025-06-30,按产品分类,零售,4208274231.11,0.029721,3729819143.07,0.029447,478455088.04,0.032041,0.113694
601607,2025-06-30,按产品分类,其他,704872268.07,0.004978,419697208.07,0.003314,285175060.0,0.019097,0.404577
601607,2025-06-30,按产品分类,分部间抵销,-5044293579.63,-0.035625,-4922866981.23,-0.038867,-121426598.4,-0.008132,
601607,2025-06-30,按地区分类,国内销售,139069119631.78,0.982177,124794613152.87,0.985272,14274506478.91,0.955921,0.102643
601607,2025-06-30,按地区分类,国外销售,2042511234.14,0.014425,1606929217.04,0.012687,435582017.1,0.02917,0.213258
601607,2025-06-30,按地区分类,其他(补充),481151636.87,0.003398,258518228.78,0.002041,222633408.09,0.014909,0.462709
601607,2024-12-31,按行业分类,分销,251167427596.32,0.912503,236240955221.46,0.96575,14926472374.86,0.487289,0.059428
601607,2024-12-31,按行业分类,工业,23730757007.62,0.086215,9680681264.63,0.039574,14050075742.99,0.458678,0.592062
601607,2024-12-31,按行业分类,零售,8514458445.21,0.030933,7421543698.0,0.030339,1092914747.21,0.035679,0.12836
601607,2024-12-31,按行业分类,其他(补充),1064434089.92,0.003867,547891434.27,0.00224,516542655.65,0.016863,0.485274
601607,2024-12-31,按行业分类,其他,274210529.6,0.000996,207448747.6,0.000848,66761782.0,0.00218,0.243469
601607,2024-12-31,按行业分类,抵消,-9500352779.01,-0.034515,-9479259313.98,-0.038751,-21093465.03,-0.000689,
601607,2024-12-31,按产品分类,分销,251167427596.32,0.912503,236240955221.46,0.96575,14926472374.86,0.487289,0.059428
601607,2024-12-31,按产品分类,工业,23730757007.62,0.086215,9680681264.63,0.039574,14050075742.99,0.458678,0.592062
601607,2024-12-31,按产品分类,零售,8514458445.21,0.030933,7421543698.0,0.030339,1092914747.21,0.035679,0.12836
601607,2024-12-31,按产品分类,其他,1753307804.55,0.00637,766371356.98,0.003133,986936447.57,0.032219,0.5629
601607,2024-12-31,按产品分类,分部间抵销,-9915015964.04,-0.036022,-9490290489.09,-0.038796,-424725474.95,-0.013866,
601607,2024-12-31,按地区分类,国内销售,270219738668.0,0.981721,241282389690.65,0.986359,28937348977.35,0.944687,0.107088
601607,2024-12-31,按地区分类,国外销售,3966762131.74,0.014411,2788979927.06,0.011401,1177782204.68,0.03845,0.296913
601607,2024-12-31,按地区分类,其他(补充),1064434089.92,0.003867,547891434.27,0.00224,516542655.65,0.016863,0.485274
601607,2024-06-30,按行业分类,分销,127031193089.1,0.911185,119504655367.31,0.96965,7526537721.79,0.465521,0.05925
